ts,t_ext,h_ext,t_C_cal,h_C_cal,t_L_cal,h_L_cal
1652180679680000000,30.1,20.8,15.8,12.14,15.9,35.95
1652180376437000000,29.8,22.1,15.8,12.5,15.9,35.95
1652180073184000000,29.3,23.2,15.8,12.14,15.9,35.54
1652179770026000000,29.4,22.1,15.7,12.14,16.0,35.54
1652179466820000000,28.6,21.2,15.7,12.14,16.0,35.95
1652179163762000000,28.2,22.1,15.7,12.14,16.0,35.95
1652178860486000000,28.4,24.0,15.6,12.14,16.0,35.95
1652178556787000000,27.7,26.1,15.6,11.43,16.0,35.95
1652178252833000000,28.1,24.2,15.6,12.14,16.0,35.95
1652177949907000000,28.1,27.4,15.5,12.14,16.0,35.95
1652177646336000000,26.9,27.6,15.5,12.5,16.0,35.95
1652177343570000000,26.3,28.7,15.5,11.43,16.0,35.95
1652177039917000000,26.0,28.3,15.5,11.43,16.0,35.95
1652176736921000000,26.1,28.4,15.5,12.14,16.0,35.95
1652176433901000000,25.6,29.4,15.4,12.5,16.0,35.95
1652176130763000000,25.2,31.6,15.4,12.5,16.0,35.95
1652175827869000000,24.7,30.4,15.4,12.14,16.0,35.95
1652175524523000000,24.3,34.3,15.4,12.5,16.0,35.95
1652175221591000000,24.3,33.9,15.4,12.5,16.0,35.54
1652174918215000000,24.3,33.6,15.3,12.14,16.1,35.95
1652174614329000000,24.1,33.3,15.3,12.5,16.1,35.95
1652174311380000000,23.4,35.4,15.3,12.14,16.1,35.95
1652174008351000000,23.3,36.0,15.3,12.14,16.1,35.95
1652173705283000000,23.6,36.3,15.3,12.5,16.1,35.95
1652173402039000000,23.6,36.0,15.3,12.5,16.1,35.95
1652173098920000000,22.9,36.8,15.3,12.5,16.1,35.95
1652172795002000000,22.4,38.6,15.3,12.14,16.1,35.54
1652172491717000000,21.9,38.5,15.3,12.14,16.1,35.95
1652172188158000000,21.8,38.8,15.3,12.14,16.1,35.95
1652171884854000000,21.8,39.6,15.3,12.14,16.2,35.95
1652171581670000000,21.4,40.7,15.3,12.5,16.2,35.95
1652171277853000000,21.0,41.0,15.3,12.14,16.2,35.95
1652170974769000000,21.0,42.3,15.3,12.14,16.2,35.95
1652170671870000000,20.9,42.6,15.3,12.14,16.2,35.54
1652170369159000000,20.7,43.4,15.3,12.14,16.2,35.54
1652170065162000000,21.2,43.1,15.3,12.14,16.2,35.95
1652169762293000000,20.9,44.2,15.3,12.14,16.2,35.95
1652169458715000000,20.8,44.3,15.4,12.5,16.2,35.95
1652169155851000000,20.7,43.0,15.4,12.14,16.3,35.95
1652168852871000000,20.6,45.2,15.4,12.14,16.3,35.95
1652168549387000000,20.3,45.3,15.4,12.14,16.3,35.95
1652167336129000000,19.7,44.7,15.5,12.14,16.3,35.95
1652167032328000000,19.6,45.6,15.5,12.14,16.3,35.54
1652166728972000000,19.9,44.7,15.5,12.5,16.4,35.95
1652166426038000000,20.6,42.2,15.5,12.14,16.4,35.95
1652166122836000000,19.9,43.6,15.5,12.14,16.4,35.95
1652165820164000000,19.1,44.9,15.6,11.79,16.4,35.95
1652165517276000000,19.0,45.3,15.6,12.14,16.4,35.95
1652165214321000000,18.6,45.6,15.6,12.14,16.4,35.54
1652164911114000000,18.1,46.9,15.6,12.14,16.4,35.54
1652164608060000000,17.0,50.2,15.7,11.79,16.4,35.54
1652164304898000000,15.9,53.7,15.7,12.14,16.4,35.54
1652164001326000000,14.9,56.9,15.7,12.14,16.5,35.95
1652163698396000000,14.2,61.2,15.7,11.79,16.5,35.95
1652163394528000000,13.3,64.0,15.8,12.14,16.5,35.95
1652163090931000000,12.4,67.8,15.8,12.14,16.5,35.95
1652162787925000000,10.7,74.4,15.8,12.14,16.5,35.95
1652162485193000000,8.5,82.3,15.8,12.14,16.5,35.95
1652162181348000000,7.4,84.8,15.9,12.14,16.5,35.54
1652161878255000000,7.1,86.0,15.9,11.43,16.5,35.54
1652161575122000000,6.8,85.4,15.9,11.79,16.5,35.54
1652161271612000000,6.7,85.6,16.0,11.43,16.6,35.95
1652160968021000000,6.6,85.4,16.0,12.14,16.6,35.54
1652160664777000000,6.5,86.6,16.0,12.14,16.6,35.95
1652160361563000000,6.4,86.0,16.0,12.14,16.6,35.54
1652160058252000000,6.3,86.0,16.1,12.14,16.6,35.54
1652159754469000000,6.1,86.3,16.1,11.79,16.6,35.95
1652159451188000000,6.2,85.5,16.1,11.43,16.6,35.95
1652159148430000000,6.3,85.9,16.2,11.79,16.6,35.95
1652158844898000000,6.3,85.2,16.2,11.43,16.6,35.95
1652158541700000000,6.4,85.4,16.2,11.79,16.7,35.95
1652158238694000000,6.5,84.9,16.3,11.79,16.7,35.95
1652157935255000000,6.5,85.0,16.3,12.14,16.7,35.95
1652157631602000000,6.3,88.0,16.3,11.43,16.7,35.95
1652157328537000000,6.2,86.1,16.3,11.79,16.7,35.95
1652156721861000000,6.2,86.3,16.4,11.43,16.7,35.95
1652156418433000000,6.3,83.5,16.4,11.79,16.7,35.54
1652155507713000000,6.6,83.7,16.5,11.43,16.7,35.95
1652154901096000000,6.9,82.1,16.6,11.43,16.8,35.95
1652154293865000000,6.9,83.2,16.6,11.43,16.8,35.95
1652153990639000000,7.0,82.5,16.7,11.43,16.8,35.54
1652153687215000000,7.0,83.0,16.7,11.43,16.8,35.54
